starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 12:30:38 2018	1523903438	0	9	9	9
Mon Apr 16 12:30:37 2018	1523903437	0	10	10	10
Mon Apr 16 12:30:38 2018	1523903438	0	11	11	11
Mon Apr 16 12:30:36 2018	1523903436	0	11	11	8
Mon Apr 16 12:30:38 2018	1523903438	1	10	11	10
Mon Apr 16 12:30:37 2018	1523903437	0	12	12	11
Mon Apr 16 12:30:38 2018	1523903438	0	12	12	12
Mon Apr 16 12:30:37 2018	1523903437	0	12	12	12
Mon Apr 16 12:30:37 2018	1523903437	1	12	12	12
Mon Apr 16 12:30:37 2018	1523903437	0	13	13	13
Mon Apr 16 12:30:37 2018	1523903437	0	13	13	13
Mon Apr 16 12:30:37 2018	1523903437	0	13	13	13
Mon Apr 16 12:30:37 2018	1523903437	0	13	13	13
Mon Apr 16 12:30:38 2018	1523903438	0	14	14	14
Mon Apr 16 12:30:38 2018	1523903438	0	14	14	14
Mon Apr 16 12:30:37 2018	1523903437	0	14	14	13
Mon Apr 16 12:30:37 2018	1523903437	0	15	15	15
Mon Apr 16 12:30:38 2018	1523903438	1	14	15	14
Mon Apr 16 12:30:37 2018	1523903437	0	15	15	15
Mon Apr 16 12:30:37 2018	1523903437	0	15	15	15
Mon Apr 16 12:30:37 2018	1523903437	0	15	15	15
Mon Apr 16 12:30:38 2018	1523903438	0	15	15	15
Mon Apr 16 12:30:37 2018	1523903437	0	15	15	15
Mon Apr 16 12:30:37 2018	1523903437	0	16	16	16
Mon Apr 16 12:30:37 2018	1523903437	0	16	16	16
Mon Apr 16 12:30:37 2018	1523903437	0	16	16	16
Mon Apr 16 12:30:37 2018	1523903437	0	16	16	16
Mon Apr 16 12:30:38 2018	1523903438	0	16	16	16
Mon Apr 16 12:30:38 2018	1523903438	1	16	17	16
Mon Apr 16 12:30:37 2018	1523903437	1	16	17	16
Mon Apr 16 12:30:38 2018	1523903438	0	17	17	17
Mon Apr 16 12:30:37 2018	1523903437	1	16	17	16
Mon Apr 16 12:30:38 2018	1523903438	0	18	18	18
Mon Apr 16 12:30:37 2018	1523903437	0	18	18	18
Mon Apr 16 12:30:37 2018	1523903437	1	17	18	17
Mon Apr 16 12:30:38 2018	1523903438	1	17	18	17
Mon Apr 16 12:30:38 2018	1523903438	0	18	18	18
Mon Apr 16 12:30:38 2018	1523903438	0	18	18	18
Mon Apr 16 12:30:38 2018	1523903438	0	18	18	18
Mon Apr 16 12:30:37 2018	1523903437	0	18	18	18
Mon Apr 16 12:30:37 2018	1523903437	0	18	18	18
Mon Apr 16 12:30:39 2018	1523903439	0	18	18	18
Mon Apr 16 12:30:39 2018	1523903439	0	18	18	18
